缺陷编号,工卡描述中文,工卡描述英文,相关工卡号,相关工卡序号,区域,区域号,候选工卡,工卡描述,工卡描述已开工卡号,参考手册,候选工卡描述英文,候选工卡描述中文,已开工卡号,Candidate Workcard Description (English),Candidate Workcard Description (Chinese)
DEF-124,,GALLEY M1 FWD CLOSET COMPARTMENT DOOR M122 SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-125,,"GALLEY M1 FWD CLOSET COMPARTMENT DOOR M122 LATCH BROKEN,QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-126,,GALLEY M1 FWD BUSTLE COMPARTMENT M120 INSIDE STOPPER-DOOR LOOSE.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-127,,"GALLEY M1 FWD BUSTLE COMPARTMENT DOOR M120 HINGE BUMPER MISSING,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007297992.0,,,CMM25-25-02.REV.1,,,,GALLEY DOOR A303 BUMPER MISSING.,
DEF-128,,GALLEY F2 COCKPIT SIDE WALL PANEL BUMPER STRIP WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-129,,CABIN LH 2# DOOR FWD STOWAGE FWD BUSTLE COMPARTMENT DOOR SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874494.0,,,CMM25-25-02.REV.1,,,,CABIN LH 2# DOOR FWD STOWAGE UPPER DOOR LATCH WORN.,
DEF-130,,GALLEY A2 A3 COMPARTMENT DRAWER DOOR A215 A216 A315 SURFACE KICKSTRIP DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-131,,"GALLEY A3 COMPARTMENT A303 LATCH FAILED,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-132,,GALLEY A2 COMPARTMENT DOOR A219 INNER FACE BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-133,,"GALLEY A2 COMPARTMENT DOOR A208 HINGE SPRING BROKEN,QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874608.0,,,CMM25-25-02.REV.1,,,,GALLEY M2 COMPARTMENT DOOR M232 HINGE SPRING BROKEN.,
DEF-134,,"GALLEY A1 WORKTOP EDGE TRIM SCREW MISSING,QTY:20EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-135,,GALLEY A1 TROLLEY DOOR A122 TOP SEAL BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007349074.0,,,CMM25-25-02.REV.1,,,,"GALLEY A1 TROLLEY DOOR A122 UPPER SEAL MISSING,QTY:1EA",
DEF-136,,GALLEY A3 COMPARTMENT A320 DIVIDER PANEL LOWER GUIDE PLATE DEFORMATION.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-137,,GALLEY A3 AREA CURTAIN STRAP FASTENER MISSING.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-138,,"GALLEY A2 COMPARTMENT DOOR A214 MIRROR SCRATCHED,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007541194.0,,,CMM25-25-02.REV.1,,,,"GALLEY DOOR MIRROR SCRATCHED:F213,M510,A108,A214",
DEF-139,,GALLEY A1 WORKTOP CONNECT PLATE DEFORMATION.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-140,,"CABIN A1 GALLEY CIRCUIT BREAKER PANEL PROTECTIVE COVER BROKEN,QTY:1EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007407509.0,,,CMM25-25-02.REV.1,,,,CABIN A1 GALLEY CIRCUIT BREAKER PANEL PROTECTIVE COVER BROKEN,
DEF-141,,"GALLEY A1 A2 A3 LOWER UNIT COOLING DUCT GUIDE DEFORMATION,LOC:A321,A123,A125,A127,A220,A224",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-142,,GALLEY A1 COMPARTMENT A128 A121 INNER LAMINATED COMPOUND BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-143,,LH 1# DOOR PARTITION FWD SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-144,,"CABIN GALLEY TROLLEY DOOR INNER SURFACE DAMAGED,LOC:M523",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007582640.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY DOOR INNER SURFACE DAMAGED,LOCS:F219 F220 F113 M225 M117 M113 M230 M231 M522 M523 M716 M717 A322 A123 A124 A126 A223 A221",
DEF-145,,"GALLEY M2 TROLLEY DOOR SURFACE WALLPAPER WORN,LOC:M228,M227,M226,M225",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578688.0,,,CMM25-25-02.REV.1,,,,"GALLEY M2 WORK SURFACE DOOR WALLPAPER WORN,LOC:M225 M226 M227 M228 M229 M230 M231 M209 M210 M213 M218 M219 M224 M221",
DEF-146,,"CABIN M2 GALLEY TROLLEY DOOR BLACK HANDLE BROKEN,LOC:M231,M230,M229,M226,M225",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007865909.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY DOOR GRIP BROKEN,LOC:M225 M227 M229 M230 M231 M720,QTY:6EA",
DEF-147,,GALLEY M2 TROLLEY DOOR M230 TOP SEAL BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-148,,"GALLEY M1 TROLLEY DOOR SURFACE WALLPAPER WORN,LOC:M118,M116,M115",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578686.0,,,CMM25-25-02.REV.1,,,,"GALLEY M1 WORK SURFACE DOOR WALLPAPER WORN,LOC:M113A M115 M116 M117 M118 M108 M107 M110",
DEF-149,,"CABIN M1 GALLEY TROLLEY DOOR BLACK HANDLE BROKEN,LOC:M115,M116,M117",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007350924.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY COMPARTMENT DOOR HANDLE BROKEN,LOC:M522 M717 M718 M719 M117 M521 M519 M720 A122 A123 M716 A125 A320 A321 M523 A221 A222 A121 A220 F113 F114 A126 A127 M226 M227 A223 A224 M115 M116 M237 F220 M225 M229 M228 F219",
DEF-150,,"CABIN GALLEY TROLLEY DOOR INNER SURFACE DAMAGED,LOC:M117",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007582640.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY DOOR INNER SURFACE DAMAGED,LOCS:F219 F220 F113 M225 M117 M113 M230 M231 M522 M523 M716 M717 A322 A123 A124 A126 A223 A221",
DEF-151,,"CABIN F2 GALLEY TROLLEY DOOR BLACK HANDLE BROKEN,LOC:F219,F220",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007483861.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY DOOR HANDLE BROKEN,LOC:F217 F221 F219 F220 M528 A124 A223 A224 A125 A221 A320 A321 M718 M719 F115 A126 A127 M720 A122 A123 M717 M524 M525 M519 M520 M713 F215 A216 M709 M712,QTY:30EA",
DEF-152,,CABIN FWD/MID/AFT ZONE GALLEY COMPARTMENT DOOR LATCH SCREW AND WASHER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007463722.0,,,CMM25-25-02.REV.1,,,,CABIN GALLEY M1 DOOR HANDLE WORN,
DEF-153,,"GALLEY M7 TROLLEY DOOR SURFACE WALLPAPER WORN,LOC:M713,M714,M715,M718,M719,M720,M712",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578685.0,,,CMM25-25-02.REV.1,,,,"GALLEY M7 WORK SURFACE DOOR WALLPAPER WORN,LOC:M716 M717 M720 M718 M719 M707 M715 M714 M713 M709 M712",
DEF-154,,GALLEY M2 COMPARTMENT DOOR M209 MIRROR SCRATCHED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874753.0,,,CMM25-25-02.REV.1,,,,"GALLEY COMPARTMENT DOOR SURFACE MIRROR SCRATCHED,LOC:F211 M209 M213 M514 A315 A108 A214",
