缺陷编号,工卡描述中文,工卡描述英文,相关工卡号,相关工卡序号,区域,区域号,候选工卡,工卡描述,工卡描述已开工卡号,参考手册,候选工卡描述英文,候选工卡描述中文,已开工卡号,Candidate Workcard Description (English),Candidate Workcard Description (Chinese)
DEF-195,,"GALLEY M7 REAR SURFACE LH AND RH vertical PLASTIC trim SCRATCHED,QTY:2EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-196,,"CABIN DOGHOUSE SEAL INSERT COUPLER MISSING,LOC:5# 7# 8# 9# 12#",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007648240.0,,,CMM25-25-02.REV.1,,,,CABIN #9 DOGHOUSE REAR SEAL MISSING,
DEF-197,,"CABIN DOGHOUSE BACK SIDE CORNER SEAL MISSING,LOC: 7# 9# 12#",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007648240.0,,,CMM25-25-02.REV.1,,,,CABIN #9 DOGHOUSE REAR SEAL MISSING,
DEF-198,,GALLEY A2 COMPARTMENT DOOR A207 EDGE TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007876640.0,,,CMM25-25-02.REV.1,,,,GALLEY F2 COMPARTMENT DOOR F216 EDGE TRIM BROKEN.,
DEF-199,,"GALLEY F1 OVEN INSTALLATION BLOCK CORROSION,LOC:F106,F107",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-200,,"GALLEY M1 OVEN INSTALLATION BLOCK CORROSION,LOC:M111,M112",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-201,,"GALLEY M7 OVEN INSTALLATION BLOCK CORROSION,LOC:M710,M711",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-202,,"GALLEY M1 TABLET HOLDER BROKEN,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-203,,GALLEY F2 WORKTOP WATER PERFORATED  COVER DEFORMED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-204,,GALLEY M1 WORKTABLE FAILED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-205,,GALLEY M2 COMPARTMENT M231 RH SIDE SECTION FOOT STEP FAILED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
